#宠物编号|物品1|物品2|物品3|物品4|物品5|物品6|物品7|物品8|物品9|物品10|物品11|物品12|物品13|物品14|物品15|
524|2456|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
961|20219|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
953|20223|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
962|20222|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
777|20253|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
796|20247|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
812|20259|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
1105|1690|1691|1692|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
8|1810|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
145|2236|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
146|2236|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3010|21027|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3011|21027|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3012|21027|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3013|21027|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3018|21028|21029|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3019|21028|21029|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3020|21028|21030|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
3021|21028|21029|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|
