##ËµÃ÷ÐÐ, »ú±©00, °×Ïó01, ½ð·É02, ºì¹·03, À¶Áú04, ÂÌ¼×05, ºìÍÜ06, ºìÐÉ07, À¶±©08, ºì±©09, Ë®Óã10, Ë®À×11, Ææ±¦12, »Ò¼¦13, ºÚ¼¦14, »ú±©15, À¶Áú16, ÐÉÐÉ17, °×Ïó18, ÂÌ¼×19, ½ð·É20, ºì¹·21, ºìÍÜ22, °×»¢23, Ææ±¦24, »Ò¼¦25, ºÚ¼¦26, ½ð·É27, ºì¹·28, ºìÍÜ29, Ê¨Å£30, ÈËÀÇ31, ºì·É32, ³È·É33, À¶ÀÇ34, »ðÀÇ35, º£Âí36, ¼ª±È37, ¾ÞÓ¥38, ½ð»¢39, À¶¹Ö40, ÈÚºÏ41, ÇàÁú42, ±ùÏó43, ³È»¢44, ÐÇÐÇ45, ºì»¢46, ÂÌ±©47, ¾§±©48, HF»ú±©, À¶Áú50, ÂÌÁú51, ºìÁú52, »ÒÁú53, »ÆÁú54, 2D»ú55, »Æµ°56, ÍþÍþ57, Æïƒ¥58, Æï³è59, Æï³è60, Æï³è61, Æï³è62, Æï³è63
Æï    ³è,     -1, 100358, 100362, 100279, 100288, 100283, 100346, 100310, 100372, 100373, 101532, 101576, 100370, 100369, 100904,     -1, 100288, 100310, 100358, 100283, 100362, 100279, 100346, 100872, 100370, 100369, 100904, 100362, 100279, 100346, 110045, 101426, 100360, 100359, 110017, 110029, 110078, 101178, 110091, 110119, 110090, 101488, 101180, 110062, 121105, 100307, 110118, 120070, 100909, 110133, 110092, 110096, 110095, 110094, 110093, 110042, 101489, 100264, 110163,     -1,     -1,     -1,     -1,     -1
¶¹    ¶¡, 101305, 101306, 101307, 101308, 101309, 101310, 101311, 101312, 101008, 101009, 101978, 101989, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
Èü ÑÇ ÈË, 101313, 101314, 101315, 101316, 101317, 101318, 101319, 101320, 101018, 101019, 101986, 101988, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
±è×ÓÄÐº¢, 101321, 101322, 101323, 101324, 101325, 101326, 101327, 101328, 101028, 101029, 101975, 101965, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
¿á    ¸ç, 101329, 101330, 101331, 101332, 101333, 101334, 101335, 101336, 101038, 101039, 101976, 101966, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
ÐÜ Æ¤ ÄÐ, 101337, 101338, 101339, 101340, 101341, 101342, 101343, 101344, 101048, 101049, 101984, 101973, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
´ó    ¸ö, 101345, 101346, 101347, 101348, 101349, 101350, 101351, 101352, 101058, 101059, 101985, 101974, 100425, 100420, 100444, 102003, 102005, 102007, 102009, 102011, 102013, 102015, 102017, 102019, 100425, 100420, 100444, 102024, 102026, 102028, 108021, 101428, 122014, 122002, 108029, 108028, 108024, 101179, 127069, 123003, 127068, 127066, 130030, 108064, 121106, 108014, 108009, 120037, 123010, 108088, 108105, 108110, 108113, 108114, 108118, 108122, 110136, 123001, 123009,     -1,     -1,     -1,     -1,     -1
¶¹ ¶¡ ÃÃ, 101353, 101354, 101355, 101356, 101357, 101358, 101359, 101360, 101068, 101069, 101977, 101967, 100425, 100420, 100444, 102004, 102006, 102008, 102010, 102012, 102014, 102016, 102018, 102020, 100425, 100420, 100444, 102025, 102027, 102029, 108021, 101428, 122020, 122007, 108029, 108028, 108025, 101179, 127069, 123003, 127068, 127066, 130030, 108065, 121106, 108019, 108008, 120045, 123010, 108096, 108106, 108109, 108112, 108115, 108117, 108122, 110136, 123002, 123009,     -1,     -1,     -1,     -1,     -1
ÐÜ Æ¤ ÃÃ, 101361, 101362, 101363, 101364, 101365, 101366, 101367, 101368, 101078, 101079, 101979, 101968, 100425, 100420, 100444, 102004, 102006, 102008, 102010, 102012, 102014, 102016, 102018, 102020, 100425, 100420, 100444, 102025, 102027, 102029, 108021, 101428, 122020, 122007, 108029, 108028, 108025, 101179, 127069, 123003, 127068, 127066, 130030, 108065, 121106, 108019, 108008, 120045, 123010, 108096, 108106, 108109, 108112, 108115, 108117, 108122, 110136, 123002, 123009,     -1,     -1,     -1,     -1,     -1
Ã± ×Ó ÃÃ, 101369, 101370, 101371, 101372, 101373, 101374, 101375, 101376, 101088, 101089, 101981, 101970, 100425, 100420, 100444, 102004, 102006, 102008, 102010, 102012, 102014, 102016, 102018, 102020, 100425, 100420, 100444, 102025, 102027, 102029, 108021, 101428, 122020, 122007, 108029, 108028, 108025, 101179, 127069, 123003, 127068, 127066, 130030, 108065, 121106, 108019, 108008, 120045, 123010, 108096, 108106, 108109, 108112, 108115, 108117, 108122, 110136, 123002, 123009,     -1,     -1,     -1,     -1,     -1
